"","ENSEMBL ID","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4313","ENSRNOG00000008871","Sdr16c5",14.88330524,8.088067205,1.235784874,6.54488283,5.95e-11,2.29e-10
"4351","ENSRNOG00000008943","Penk",41032.20651,4.437562069,0.071196625,62.32826466,0,0
"4364","ENSRNOG00000008965","Socs2",63.56348285,2.155820966,0.231304087,9.320289108,1.16e-20,6.87e-20
"4383","ENSRNOG00000009005","Slco2a1",2057.587233,3.588705679,0.097100468,36.95868562,5.28e-299,6.05e-297
"4396","ENSRNOG00000009033","Cntn2",148.9601217,2.180100916,0.220237811,9.898849356,4.21e-23,2.69e-22
"4432","ENSRNOG00000009096","Pon3",2.368965089,2.754659204,1.070372718,2.573551396,0.010066069,0.019138984
"4445","ENSRNOG00000009118","Pou2f3",1.712399737,3.794105298,1.527936952,2.483155665,0.013022417,0.02426596
"4485","ENSRNOG00000009204","Il17re",570.1589358,4.980456277,0.106758132,46.65177429,0,0
"4566","ENSRNOG00000009343","Evpl",295.4487393,2.341575632,0.123243876,18.99952924,1.72e-80,3.36e-79
"4654","ENSRNOG00000009528","Sdcbp2",56.22363123,3.458604934,0.231820934,14.91929517,2.47e-50,3.03e-49
"4673","ENSRNOG00000009565","Pdk4",93.57260241,2.653712998,0.174580584,15.20050476,3.51e-52,4.45e-51
"4689","ENSRNOG00000009589","Angptl7",27.03959032,3.542341144,0.377774104,9.376876578,6.8e-21,4.05e-20
"4716","ENSRNOG00000009646","Nyx",23.6240018,2.543008396,0.328190711,7.748569089,9.29e-15,4.33e-14
"4758","ENSRNOG00000009736","A4galt",2.179315178,2.498900908,1.042166296,2.397794783,0.016494103,0.030206568
"4777","ENSRNOG00000009779","Krt8",46.74924205,2.499955901,0.249515014,10.01926041,1.25e-23,8.16e-23
"4787","ENSRNOG00000009797","Aqp3",5.966395406,2.279892079,0.664092762,3.4330928,0.000596738,0.001341132
"4789","ENSRNOG00000009802","Fam124a",23.46635826,6.804203376,1.434479547,4.743325473,2.1e-06,5.99e-06
"4811","ENSRNOG00000009848","Il18",6.587992266,3.589673957,0.763215326,4.703356754,2.56e-06,7.24e-06
"4835","ENSRNOG00000009892","Adamts15",151.9150847,5.440212247,0.214569763,25.35404881,8.11e-142,3.27e-140
"4879","ENSRNOG00000009982","Pnp",4205.471493,2.204842654,0.057323409,38.46321616,0,0
"4908","ENSRNOG00000010047","Ddit4l",76.23212171,4.825264523,0.279146175,17.28579848,6.02e-67,9.79e-66
"4995","ENSRNOG00000010205","Mturn",90.49105916,4.117989249,0.231611395,17.77973507,1.01e-70,1.73e-69
"5046","ENSRNOG00000010302","Rasl10b",467.1517596,3.990555574,0.126232099,31.61284348,2.46e-219,1.8e-217
"5086","ENSRNOG00000010389","Ndrg2",783.6917055,5.113376817,0.096677944,52.89083109,0,0
"5131","ENSRNOG00000010478","LOC299282",265.0003183,12.27521529,1.181873596,10.38623363,2.86e-25,1.95e-24
"5150","ENSRNOG00000010517","Fam126a",1544.632734,2.713955512,0.141307557,19.20601821,3.3e-82,6.58e-81
"5164","ENSRNOG00000010535","Cdh18",189.0156165,2.597695711,0.131656331,19.73088339,1.17e-86,2.47e-85
"5173","ENSRNOG00000010549","Tspo",5019.244862,2.239596913,0.096692573,23.16203658,1.1e-118,3.54e-117
"5188","ENSRNOG00000010575","Dapp1",13.87839964,2.30833391,0.478226769,4.826860522,1.39e-06,4.01e-06
"5200","ENSRNOG00000010598","unkown",12.84477898,2.797819576,0.622966666,4.491122445,7.08e-06,1.93e-05
"5234","ENSRNOG00000010655","Mttp",10.72307926,2.810937224,0.550218139,5.108768732,3.24e-07,9.85e-07
"5236","ENSRNOG00000010658","Cth",775.4460397,2.253804082,0.071287629,31.61564108,2.25e-219,1.65e-217
"5316","ENSRNOG00000010805","Fabp4",28.97621168,8.144748645,1.048222273,7.770058748,7.84e-15,3.67e-14
"5355","ENSRNOG00000010885","Zyg11a",5.438999352,7.607231352,1.339130417,5.680724788,1.34e-08,4.49e-08
"5460","ENSRNOG00000011068","Papss2",2101.292604,2.178057428,0.054088683,40.26826539,0,0
"5462","ENSRNOG00000011071","Nt5e",2254.600706,4.959983435,0.071772509,69.10700904,0,0
"5490","ENSRNOG00000011134","Lama2",734.6313896,2.042672665,0.120152004,17.00073735,8.11e-65,1.28e-63
"5509","ENSRNOG00000011160","Sv2b",64.6214582,6.528498898,0.450749367,14.48365629,1.54e-47,1.78e-46
"5523","ENSRNOG00000011184","Slc13a4",14.91667932,5.54590266,0.684080976,8.10708506,5.18e-16,2.57e-15
"5558","ENSRNOG00000011263","Plac9",321.2301502,2.355158043,0.136802312,17.21577662,2.02e-66,3.27e-65
"5560","ENSRNOG00000011271","Mcc",1190.413512,2.163299163,0.208254454,10.38776902,2.82e-25,1.92e-24
