"","ENSEMBL ID","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1354","ENSRNOG00000002771","Ereg",173.7577741,2.010965443,0.181065631,11.10627915,1.17e-28,1.29e-27
"1384","ENSRNOG00000002827","Rbfox1",370.5153946,2.251403778,0.102204624,22.02839453,1.54e-107,7.05e-106
"1426","ENSRNOG00000002905","Ccdc103",3.33271404,2.805578978,1.053263554,2.663700806,0.007728627,0.0167225
"1582","ENSRNOG00000003208","Ercc6l",348.5706493,2.350806751,0.105595762,22.26232103,8.57e-110,4.02e-108
"1672","ENSRNOG00000003388","Cenpf",1928.561739,2.848577678,0.093501594,30.46555192,7.46e-204,1.03e-201
"1692","ENSRNOG00000003457","Bicdl2",61.83692459,2.791469634,0.243852028,11.4473915,2.42e-30,2.82e-29
"1696","ENSRNOG00000003468","Capn8",3.30176563,2.179444687,0.966968297,2.253894666,0.024202795,0.047131616
"1791","ENSRNOG00000003675","unkown",1.625210435,4.753534413,1.83640093,2.588505776,0.009639333,0.020452869
"1832","ENSRNOG00000003741","Nptx1",11.62667926,2.39777855,0.461929255,5.190791713,2.09e-07,7.91e-07
"1868","ENSRNOG00000003802","Pttg1",520.0379267,2.608438836,0.128730677,20.26276025,2.74e-91,1.02e-89
"1965","ENSRNOG00000003984","Apln",148.0845501,4.508133199,0.195469132,23.06314636,1.09e-117,5.82e-116
"2078","ENSRNOG00000004195","Dtl",488.2842168,2.044452822,0.12994551,15.73315477,8.96e-56,1.92e-54
"2092","ENSRNOG00000004216","Lrr1",37.86381887,2.589612831,0.314369554,8.237479737,1.76e-16,1.22e-15
"2105","ENSRNOG00000004242","Pole2",198.8990931,2.138722895,0.13010179,16.438843,1.01e-60,2.36e-59
"2230","ENSRNOG00000004479","Aurka",670.5355305,2.649796912,0.105549768,25.10471556,4.42e-139,3.21e-137
"2235","ENSRNOG00000004487","Nek2",417.5498326,3.065373358,0.110021446,27.86159852,7.79e-171,7.94e-169
"2242","ENSRNOG00000004498","Scin",123.8215538,7.118543061,0.604933391,11.76748245,5.74e-32,7.03e-31
"2265","ENSRNOG00000004537","Rxrg",7.945333736,2.455015148,0.701210758,3.501108788,0.000463327,0.001223618
"2328","ENSRNOG00000004666","Prr5l",27.34722729,2.232527413,0.355188606,6.285470245,3.27e-10,1.55e-09
"2339","ENSRNOG00000004682","Parpbp",137.5505048,2.860519671,0.185612282,15.41126284,1.37e-53,2.84e-52
"2446","ENSRNOG00000004882","Capn6",1.431796257,4.921752069,1.636099594,3.00822278,0.002627804,0.006198424
"2465","ENSRNOG00000004921","Nusap1",858.7533889,2.770764233,0.104233792,26.58220692,1.09e-155,9.49e-154
"2513","ENSRNOG00000005037","Kif18a",307.58022,2.179273234,0.118571426,18.37941317,1.92e-75,5.73e-74
"2514","ENSRNOG00000005038","Ube2t",335.1571033,2.646042997,0.151540645,17.46094591,2.84e-68,7.52e-67
"2555","ENSRNOG00000005115","Asf1b",486.4069713,2.443480635,0.115146611,21.22060398,6.16e-100,2.58e-98
"2563","ENSRNOG00000005132","Slc52a3",1.668140385,4.54462855,1.588967475,2.860114269,0.004234884,0.009633915
"2691","ENSRNOG00000005390","Nup210",45.29715769,2.234362917,0.260651845,8.572212171,1.02e-17,7.45e-17
"2702","ENSRNOG00000005410","Cdca7l",164.2272406,2.124215199,0.139247105,15.25500443,1.52e-52,3.08e-51
"2802","ENSRNOG00000005659","Aurkb",885.2730269,2.429138653,0.082436616,29.46674388,7.68e-191,9.71e-189
"2848","ENSRNOG00000005758","Btbd11",58.78967017,2.254805629,0.224427335,10.04692959,9.48e-24,8.86e-23
"2928","ENSRNOG00000005936","Foxm1",615.8562226,2.066708376,0.086457131,23.90442938,2.75e-126,1.68e-124
"2930","ENSRNOG00000005944","Slurp1",12.47372658,2.425086666,0.470592031,5.153267598,2.56e-07,9.59e-07
"2988","ENSRNOG00000006086","Lynx1",23.6755195,2.221985532,0.353244327,6.290222844,3.17e-10,1.5e-09
"2991","ENSRNOG00000006093","LRRTM1",1.531673287,5.0238552,1.607426841,3.125402085,0.001775622,0.004299135
"3025","ENSRNOG00000006198","Prr11",265.7500416,2.225613941,0.150185258,14.81912385,1.1e-49,2.09e-48
"3066","ENSRNOG00000006320","unkown",9.784686765,2.145152474,0.524210466,4.092158805,4.27e-05,0.000128532
"3083","ENSRNOG00000006353","Large2",12.0646237,2.047317389,0.513763952,3.984937797,6.75e-05,0.000198481
"3199","ENSRNOG00000006645","unkown",63.96708038,2.877979264,0.222989309,12.90635537,4.14e-38,6.01e-37
"3223","ENSRNOG00000006715","unkown",17.5039628,3.836001362,0.602392671,6.367941621,1.92e-10,9.25e-10
"3233","ENSRNOG00000006731","Spc25",626.1816398,2.402030138,0.105177082,22.83796134,1.92e-115,1.01e-113
"3364","ENSRNOG00000006996","Mms22l",682.3803743,2.028214318,0.087265333,23.24192503,1.72e-119,9.56e-118
"3450","ENSRNOG00000007159","Ccl2",221.7403973,3.538578904,0.184475974,19.18178738,5.25e-82,1.75e-80
"3470","ENSRNOG00000007221","Dut",1336.299263,2.175761726,0.102163374,21.29688598,1.21e-100,5.09e-99
"3499","ENSRNOG00000007271","Map3k9",24.96962316,2.201522891,0.347138713,6.341911202,2.27e-10,1.09e-09
"3604","ENSRNOG00000007483","Ccnf",808.0455406,2.490354751,0.081717016,30.47535109,5.53e-204,7.72e-202
"3707","ENSRNOG00000007690","Cmpk2",11.0411422,2.735061155,0.619605132,4.414200292,1.01e-05,3.25e-05
"3763","ENSRNOG00000007805","Mybl2",1271.18165,2.112332935,0.075796286,27.86855445,6.42e-171,6.58e-169
"3776","ENSRNOG00000007830","Apold1",80.38778084,3.135705942,0.22258321,14.0877919,4.51e-45,7.68e-44
"3814","ENSRNOG00000007906","Bub1b",788.8284216,2.641236845,0.090313584,29.24517814,5.17e-188,6.35e-186
"3882","ENSRNOG00000008040","Pimreg",705.804616,2.783774078,0.097508943,28.54891029,2.9e-179,3.34e-177
"3913","ENSRNOG00000008091","Gins1",298.8008965,2.479029622,0.124722837,19.8763088,6.53e-88,2.33e-86
"3917","ENSRNOG00000008100","Rgs20",7.307555987,2.266344107,0.62539863,3.623839258,0.000290262,0.000787885
"3927","ENSRNOG00000008115","Arhgap11a",1714.48939,2.505751164,0.065967495,37.98463404,0,0
"3953","ENSRNOG00000008165","Tpx2",2349.014052,2.313388103,0.056811146,40.72067341,0,0
"3984","ENSRNOG00000008223","Cnr1",103.3638325,5.186033603,0.271089896,19.13030945,1.41e-81,4.62e-80
"4088","ENSRNOG00000008450","unkown",3073.740992,2.718710436,0.084808851,32.05691878,1.76e-225,2.98e-223
"4105","ENSRNOG00000008478","Mmp13",2.474160944,3.15382773,1.161401126,2.715537001,0.006616838,0.014529352
"4169","ENSRNOG00000008596","Ttll9",10.90007595,3.022317484,0.595588828,5.074503314,3.89e-07,1.43e-06
"4277","ENSRNOG00000008806","Clip4",67.85986686,2.28617699,0.263742037,8.668231321,4.39e-18,3.28e-17
"4283","ENSRNOG00000008816","Gpnmb",799.1136567,2.852380768,0.081452876,35.01878514,1.16e-268,2.62e-266
"4330","ENSRNOG00000008911","Draxin",120.2567958,3.130297945,0.210824622,14.84787644,7.18e-50,1.37e-48
"4421","ENSRNOG00000009074","AABR07017902.1",7.799266788,3.265149902,0.815465237,4.004033223,6.23e-05,0.000183863
"4559","ENSRNOG00000009334","Knstrn",819.2930067,2.47144532,0.098601676,25.06494234,1.2e-138,8.62e-137
"4562","ENSRNOG00000009339","Cenpe",1544.069922,2.219116088,0.077989616,28.45399436,4.35e-178,4.92e-176
"4643","ENSRNOG00000009503","Depdc1",377.9673637,2.435511309,0.116963796,20.82277922,2.69e-96,1.06e-94
"4679","ENSRNOG00000009572","Hgfac",4.403571593,2.524450671,0.92634388,2.725176604,0.00642671,0.01413517
"4736","ENSRNOG00000009691","Lrrn2",24.74925819,2.925639642,0.35310685,8.285423062,1.18e-16,8.21e-16
"4772","ENSRNOG00000009768","unkown",4.094180188,4.137394067,1.305024673,3.170356968,0.001522518,0.00371856
"4781","ENSRNOG00000009785","Cdkn3",1233.263122,2.011298205,0.089881431,22.37723844,6.56e-111,3.14e-109
