"","ENSEMBL ID","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1167","ENSRNOG00000002339","Mark1",20.87775708,-2.892872145,0.61764437,-4.683718144,2.82e-06,7.95e-06
"1174","ENSRNOG00000002349","Gabra2",348.5121549,-3.4374581,0.197932162,-17.36684968,1.47e-67,2.42e-66
"1179","ENSRNOG00000002361","Prkg2",90.16015259,-2.072398413,0.258860934,-8.005836888,1.19e-15,5.78e-15
"1190","ENSRNOG00000002382","unkown",25.90187292,-3.434181326,0.612920117,-5.602983541,2.11e-08,6.97e-08
"1230","ENSRNOG00000002471","Polq",180.3072867,-2.209586347,0.182391928,-12.11449636,8.85e-34,7.61e-33
"1237","ENSRNOG00000002487","Mbnl3",2.181157764,-4.127082506,1.442311279,-2.861436756,0.004217256,0.008494686
"1252","ENSRNOG00000002525","Ptgs2",1964.067923,-2.255602221,0.072238214,-31.2245013,4.96e-214,3.54e-212
"1257","ENSRNOG00000002540","Rhoh",5.969746189,-2.170180143,0.724406447,-2.995804568,0.002737218,0.005674804
"1288","ENSRNOG00000002607","Sox9",951.9312379,-4.118677877,0.151193244,-27.24115023,2.12e-163,1.01e-161
"1310","ENSRNOG00000002653","Kcnk2",49.61859758,-2.115848622,0.278430233,-7.599205718,2.98e-14,1.35e-13
"1311","ENSRNOG00000002657","Pla2g4a",1702.29574,-2.257312881,0.076853944,-29.37146432,1.27e-189,7.85e-188
"1312","ENSRNOG00000002659","Ciita",70.80843179,-2.220530422,0.264845623,-8.384244371,5.11e-17,2.64e-16
"1329","ENSRNOG00000002711","Nuf2",822.0820482,-2.010988198,0.083039543,-24.21723573,1.46e-129,5.23e-128
"1347","ENSRNOG00000002754","Areg",32.61741462,-8.047952951,1.201832833,-6.696399641,2.14e-11,8.41e-11
"1354","ENSRNOG00000002771","Ereg",173.7577741,-3.951458833,0.256959879,-15.37772685,2.31e-53,3e-52
"1360","ENSRNOG00000002782","Epgn",26.74586191,-5.437379933,1.090881771,-4.984389764,6.22e-07,1.85e-06
"1366","ENSRNOG00000002793","Sstr2",4.547871772,-5.314140816,1.313420024,-4.046033042,5.21e-05,0.000131212
"1367","ENSRNOG00000002794","Selp",5.930949081,-3.135354036,1.169686087,-2.68050896,0.00735103,0.014256614
"1370","ENSRNOG00000002800","Gdpd2",4.012332102,-2.273243942,0.924024224,-2.46015622,0.013887655,0.025764882
"1384","ENSRNOG00000002827","Rbfox1",370.5153946,-3.549708008,0.199653491,-17.77934356,1.02e-70,1.75e-69
"1486","ENSRNOG00000003018","Olfml2b",2351.937984,-2.2274981,0.069711551,-31.95307065,4.9e-224,3.78e-222
"1572","ENSRNOG00000003189","Cited1",24.65714036,-3.138565424,0.527440355,-5.95055989,2.67e-09,9.35e-09
"1579","ENSRNOG00000003205","Ldb2",9.191631297,-2.899783641,0.857791969,-3.380520857,0.000723486,0.001613249
"1581","ENSRNOG00000003207","Fmnl1",21.27645721,-2.274273688,0.445647265,-5.103304491,3.34e-07,1.01e-06
"1582","ENSRNOG00000003208","Ercc6l",348.5706493,-2.65879859,0.118423747,-22.45156622,1.24e-111,3.63e-110
"1583","ENSRNOG00000003209","Pcp4l1",54.87239243,-2.737740996,0.435388716,-6.288038477,3.22e-10,1.18e-09
"1619","ENSRNOG00000003262","Cacng4",1.526997053,-3.838117495,1.597136663,-2.403124031,0.016255673,0.029802885
