"","OM_Titan","Gene Symbols","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1582","ENSRNOG00000003208","Ercc6l",348.5706493,-2.955885034,0.117249265,-25.21026489,3.09e-140,8.89e-139
"1583","ENSRNOG00000003209","Pcp4l1",54.87239243,-2.332599971,0.439028383,-5.313096061,1.08e-07,3.23e-07
"1659","ENSRNOG00000003346","Fancb",148.2020056,-2.569234039,0.164903803,-15.58019884,9.92e-55,1.1e-53
"1672","ENSRNOG00000003388","Cenpf",1928.561739,-2.124502561,0.091030403,-23.33838465,1.81e-120,4.28e-119
"1692","ENSRNOG00000003457","Bicdl2",61.83692459,-3.204814674,0.264473238,-12.11772766,8.51e-34,6.37e-33
"1742","ENSRNOG00000003562","Susd4",18.88773691,-3.541864235,0.600400533,-5.899169034,3.65e-09,1.2e-08
"1783","ENSRNOG00000003657","Pkmyt1",246.9167034,-2.715942856,0.156835926,-17.31709645,3.5e-67,4.6e-66
"1791","ENSRNOG00000003675","unkown",1.625210435,-4.749236538,1.83640093,-2.586165396,0.009705035,0.018560618
"1805","ENSRNOG00000003703","Mcm6",2588.335855,-2.494166307,0.053651214,-46.48853474,0,0
"1806","ENSRNOG00000003704","Fam184b",3.323890168,-3.157734017,1.0184544,-3.100515857,0.001931839,0.004062674
"1824","ENSRNOG00000003726","Scml2",126.3663334,-2.551600735,0.19680395,-12.96519066,1.93e-38,1.59e-37
"1832","ENSRNOG00000003741","Nptx1",11.62667926,-3.263025906,0.540141911,-6.041052987,1.53e-09,5.13e-09
"1843","ENSRNOG00000003762","Smarca1",369.0028047,-2.069761172,0.133248118,-15.53313625,2.07e-54,2.27e-53
"1868","ENSRNOG00000003802","Pttg1",520.0379267,-2.123380617,0.124607007,-17.04061965,4.1e-65,5.24e-64
"1917","ENSRNOG00000003887","unkown",232.2001588,-2.737502152,0.18147229,-15.08495955,2.03e-51,2.12e-50
"1940","ENSRNOG00000003947","Ntn1",110.7808492,-2.762827046,0.419606013,-6.584336158,4.57e-11,1.66e-10
"1957","ENSRNOG00000003972","Tshr",58.9637284,-2.85579008,0.33495897,-8.525790713,1.52e-17,7.17e-17
"1965","ENSRNOG00000003984","Apln",148.0845501,-8.679999586,0.656567925,-13.22026139,6.7e-40,5.7e-39
"1982","ENSRNOG00000004013","Grip1",323.8029186,-2.964139507,0.145556147,-20.36423448,3.47e-92,6.17e-91
