"","OM_Titan","Gene Symbols","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"468","ENSRNOG00000001030","Tsc22d1",7945.460324,2.149368181,0.045762082,46.96832186,0,0
"596","ENSRNOG00000001227","Adarb1",1961.099795,3.106180922,0.107226056,28.96852731,1.64e-184,6.8e-183
"606","ENSRNOG00000001242","Gstt3",24.67635695,2.23806214,0.313331596,7.142791118,9.15e-13,3.59e-12
"609","ENSRNOG00000001247","Clip1",4271.86541,2.630691883,0.054094499,48.63141194,0,0
"613","ENSRNOG00000001252","Chst12",586.5031838,2.298790822,0.084538077,27.19237172,7.99e-163,2.81e-161
"621","ENSRNOG00000001261","Ftcd",20.98485607,2.1489683,0.384397967,5.590477794,2.26e-08,7.08e-08
"626","ENSRNOG00000001271","Card6",7.05955479,2.018899154,0.578575972,3.489427924,0.000484056,0.001087857
"637","ENSRNOG00000001288","Gpr146",18.71914171,2.177789203,0.483611757,4.503176719,6.69e-06,1.77e-05
"647","ENSRNOG00000001302","Adora2a",11.81038904,4.507827479,0.656455816,6.866916808,6.56e-12,2.47e-11
"689","ENSRNOG00000001376","Mettl7a",538.5213798,3.165489901,0.080791408,39.18102181,0,0
"703","ENSRNOG00000001404","Agfg2",444.2201831,2.565123486,0.085597191,29.96737911,2.61e-197,1.21e-195
"709","ENSRNOG00000001414","Serpine1",147721.2224,2.086601596,0.055457197,37.62544261,0,0
"714","ENSRNOG00000001419","Cldn15",86.01858323,2.345033249,0.180672669,12.97945763,1.6e-38,1.33e-37
"746","ENSRNOG00000001469","Eln",51.65893656,5.023154302,0.355160945,14.14331831,2.05e-45,1.93e-44
"764","ENSRNOG00000001506","Tmem35a",646.1496706,2.291833938,0.082148726,27.89859389,2.77e-171,1.03e-169
"769","ENSRNOG00000001516","Rapgef4",480.6019155,3.463977723,0.127442484,27.18071419,1.1e-162,3.85e-161
"807","ENSRNOG00000001607","Adamts1",15688.16172,3.356867553,0.058547576,57.33572193,0,0
"818","ENSRNOG00000001627","Abi3bp",1199.005988,3.253736715,0.118087451,27.55361959,4e-167,1.45e-165
"820","ENSRNOG00000001629","Get1",898.6039963,2.476256978,0.084714148,29.23073701,7.89e-188,3.38e-186
"866","ENSRNOG00000001728","Fam43a",150.4411053,2.455978303,0.165096044,14.87605787,4.71e-50,4.83e-49
"889","ENSRNOG00000001770","Ehhadh",39.42768125,2.699454161,0.273743715,9.861246173,6.13e-23,3.44e-22
"900","ENSRNOG00000001792","Slc12a8",5.280482455,2.416149223,0.715804114,3.375433552,0.000736995,0.001623268
"907","ENSRNOG00000001804","Itpr2",186.2240357,2.073506613,0.212772118,9.745198911,1.93e-22,1.07e-21
"972","ENSRNOG00000001926","Cldn1",91.4188346,6.502265805,0.340633424,19.08874861,3.13e-81,4.91e-80
"989","ENSRNOG00000001982","Cblb",3078.71941,2.174290066,0.091044652,23.88157906,4.76e-126,1.2e-124
"990","ENSRNOG00000001989","Alcam",3695.105854,2.060444722,0.054193336,38.02026,0,0
"1018","ENSRNOG00000002050","Igfbp7",12659.71926,2.91468339,0.089427067,32.59285445,5.18e-233,2.93e-231
"1024","ENSRNOG00000002057","Slc10a6",102.4058753,8.807393269,0.661984318,13.30453461,2.18e-40,1.88e-39
"1038","ENSRNOG00000002093","Tgfbr3",962.5628812,2.316373113,0.056182709,41.22928854,0,0
"1040","ENSRNOG00000002097","Rasl11b",2413.14462,3.845647867,0.055042459,69.86693489,0,0
"1093","ENSRNOG00000002188","Hpse",15.98115745,2.472339899,0.396272281,6.238992781,4.4e-10,1.52e-09
"1105","ENSRNOG00000002208","Shroom3",55.59971132,4.716471223,0.36594202,12.88857516,5.22e-38,4.29e-37
"1106","ENSRNOG00000002210","Hsd17b11",1253.813204,2.005540046,0.059532615,33.68808911,8.64e-249,5.34e-247
"1107","ENSRNOG00000002212","Hsd17b13",9.324391859,2.55028829,0.615139718,4.145868354,3.39e-05,8.46e-05
"1109","ENSRNOG00000002215","Mylk",979.0109179,4.259868617,0.093775282,45.42634841,0,0
"1130","ENSRNOG00000002256","Art3",27.20905796,5.90834942,0.553174865,10.68079877,1.25e-26,7.83e-26
"1145","ENSRNOG00000002291","Brwd3",379.5231726,2.082118443,0.178077218,11.69222244,1.4e-31,9.91e-31
"1191","ENSRNOG00000002385","Prg4",143.4334132,5.965202626,0.252033865,23.66825832,7.66e-124,1.86e-122
"1206","ENSRNOG00000002418","Tgfb2",8895.146184,2.556610131,0.073110884,34.96894028,6.67e-268,4.65e-266
"1227","ENSRNOG00000002468","Tnr",8.001819201,4.091951261,0.718464625,5.695410908,1.23e-08,3.9e-08
"1240","ENSRNOG00000002496","Stxbp5l",1.332259045,3.797964115,1.617165548,2.348531429,0.018847608,0.034459766
"1263","ENSRNOG00000002548","Tnn",7886.529183,6.721178586,0.081076552,82.89916647,0,0
"1325","ENSRNOG00000002701","Hgd",29.89989733,5.722731088,0.502551972,11.38734183,4.84e-30,3.28e-29
"1377","ENSRNOG00000002814","unkown",35.12450539,5.918880622,0.484739347,12.21043982,2.73e-34,2.08e-33
"1442","ENSRNOG00000002930","Ppl",221.5768156,4.997205902,0.154334789,32.37899844,5.42e-230,3.01e-228
"1506","ENSRNOG00000003059","Optc",22.44064967,3.399738426,0.405506781,8.383924968,5.12e-17,2.38e-16
"1525","ENSRNOG00000003094","Cmahp",1.173857649,5.440014298,2.164760253,2.512986965,0.011971376,0.022523278
"1527","ENSRNOG00000003098","Prom1",24.02891625,2.395481701,0.464142266,5.161093645,2.46e-07,7.2e-07
"1536","ENSRNOG00000003120","Prelp",7171.206209,4.696228566,0.058230963,80.64830671,0,0
"1544","ENSRNOG00000003132","Mip",20.30900515,3.178202334,0.347712633,9.14031309,6.23e-20,3.19e-19
"1616","ENSRNOG00000003259","C1qtnf1",971.5327586,5.507036853,0.097672895,56.38244704,0,0
"1661","ENSRNOG00000003349","Col23a1",5.167672561,3.809712288,0.868756468,4.385247685,1.16e-05,3e-05
"1687","ENSRNOG00000003439","Il15",186.1841182,2.436832704,0.140960906,17.28729456,5.86e-67,7.7e-66
"1703","ENSRNOG00000003486","Mnda",319.3600031,2.814576837,0.0931298,30.22208609,1.21e-200,5.72e-199
"1738","ENSRNOG00000003553","Efemp1",14.77561767,3.411058726,0.710672224,4.799763675,1.59e-06,4.39e-06
"1754","ENSRNOG00000003587","Vegfd",1604.111546,5.452393346,0.09206585,59.22275605,0,0
"1758","ENSRNOG00000003595","Lhx4",4.041776315,3.123621893,0.960281648,3.252818484,0.001142665,0.00246527
"1769","ENSRNOG00000003620","Fmo3",4.365231972,7.442144092,1.462076051,5.090121054,3.58e-07,1.04e-06
"1798","ENSRNOG00000003687","Rgs2",660.1430989,7.208260337,0.167269306,43.09374206,0,0
"1833","ENSRNOG00000003742","Cdkl5",79.67014945,3.223738874,0.202357646,15.93089731,3.87e-57,4.46e-56
"1889","ENSRNOG00000003841","Kcnh1",9.207832642,2.079908034,0.605875106,3.432898983,0.000597165,0.001327665
"1990","ENSRNOG00000004029","Nectin4",31.25175601,5.024103009,0.433343091,11.5938228,4.43e-31,3.09e-30
"2032","ENSRNOG00000004120","RGD1565844",2.680299262,2.723001823,0.949291737,2.868456256,0.004124802,0.008302105
"2034","ENSRNOG00000004124","Grpr",2.774707671,6.620204817,1.425966349,4.642609428,3.44e-06,9.29e-06
