"","V1","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15798","ENSRNOG00000045558","Higd1c",1.500698604,-4.024820633,1.641871167,-2.451362027,0.014231674,0.029288395
"15810","ENSRNOG00000053864","unkown",5.957831857,-5.716702102,1.271243093,-4.496938573,6.89e-06,2.29e-05
"15880","ENSRNOG00000002827","unkown",370.5153946,-3.338739866,0.201465491,-16.57226675,1.11e-61,2.24e-60
"16099","ENSRNOG00000005365","unkown",33.63602505,-5.684537008,0.859145837,-6.616498342,3.68e-11,1.84e-10
"16152","ENSRNOG00000006255","unkown",14.71053789,-2.589791853,0.573325926,-4.517137172,6.27e-06,2.09e-05
"16278","ENSRNOG00000011892","Gnas",21.58548184,-3.130244862,0.751263546,-4.166640163,3.09e-05,9.56e-05
"16288","ENSRNOG00000045816","Rmnd5b",12.38471169,-4.023977542,0.858289559,-4.688368279,2.75e-06,9.48e-06
"16330","ENSRNOG00000003066","Mdn1",176.4177574,-2.3309661,0.168132599,-13.86385576,1.05e-43,1.54e-42
"16383","ENSRNOG00000057404","Crybb1",132.8077298,-2.875774147,0.242930812,-11.83783205,2.49e-32,2.79e-31
"16385","ENSRNOG00000002382","unkown",25.90187292,-4.230992309,0.606079558,-6.980919011,2.93e-12,1.57e-11
"16415","ENSRNOG00000045683","unkown",25.90187292,-4.230992309,0.606079558,-6.980919011,2.93e-12,1.57e-11
"16442","ENSRNOG00000049695","unkown",2892.164221,-3.171792033,0.101567697,-31.22835448,4.39e-214,3.62e-212
"16451","ENSRNOG00000037718","Cbr1",8.283527566,-4.616577511,1.104273713,-4.180646027,2.91e-05,9.02e-05
"16453","ENSRNOG00000003947","unkown",110.7808492,-5.247926845,0.404367997,-12.9780964,1.63e-38,2.14e-37
"16601","ENSRNOG00000008323","Fhip1a",299.6275381,-4.139646026,0.222277003,-18.62381613,2.06e-77,5.29e-76
"16620","ENSRNOG00000017912","unkown",82.33492862,-2.596716608,0.227565975,-11.41082978,3.69e-30,3.88e-29
"16659","ENSRNOG00000035516","unkown",5.361096113,-2.23818453,0.928609345,-2.410254153,0.015941411,0.032418653
