ENSEMBL ID,Gene Symbols,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000006631,Sema3e,1602.751455,2.297171841,0.086783628,26.47010611,2.14E-154,6.99E-153
ENSRNOG00000006653,Slc38a4,199.7720266,4.568577181,0.153269286,29.80751914,3.12E-195,1.41E-193
ENSRNOG00000006761,Sh3gl2,8.248166662,3.437124204,0.61091555,5.626185493,1.84E-08,5.79E-08
ENSRNOG00000006783,Neb,250.9022608,2.154717991,0.234580366,9.185414901,4.10E-20,2.11E-19
ENSRNOG00000007003,Mei1,46.76283759,4.180803986,0.30974471,13.49757995,1.62E-41,1.42E-40
ENSRNOG00000007034,Hipk2,886.3678751,2.349433275,0.289957374,8.102685026,5.38E-16,2.41E-15
ENSRNOG00000007057,Csmd2,11.75956704,6.528955482,1.082777076,6.02982426,1.64E-09,5.48E-09
ENSRNOG00000007062,Rin3,837.8044206,2.226855786,0.093774444,23.74693681,1.18E-124,2.91E-123
ENSRNOG00000007081,Xdh,5095.96729,5.260382609,0.059844869,87.90031162,0,0
ENSRNOG00000007178,Cd8a,9.630048747,4.510509361,0.728956514,6.187624737,6.11E-10,2.09E-09
ENSRNOG00000007202,Sema3d,1184.788707,3.744861254,0.116784318,32.06647351,1.29E-225,7.00E-224
ENSRNOG00000007261,Gli2,95.07779019,2.038262466,0.197512933,10.31964053,5.74E-25,3.43E-24
ENSRNOG00000007377,Slit3,1845.604903,2.119735571,0.109590805,19.34227579,2.37E-83,3.83E-82
ENSRNOG00000007387,Per1,891.669066,2.597262222,0.086107346,30.16307354,7.23E-200,3.40E-198
ENSRNOG00000007390,Nfkbia,685.8131347,2.12372802,0.09935463,21.37522959,2.27E-101,4.47E-100
ENSRNOG00000007433,Cyb561,13.74140497,3.09434223,0.449347047,6.886308141,5.73E-12,2.17E-11
ENSRNOG00000007457,Serping1,144.5287323,4.768337004,0.212653476,22.42303815,2.35E-111,5.13E-110
ENSRNOG00000007484,Ehf,2.38697817,5.5697448,1.693899689,3.28811962,0.00100859,0.002189424
ENSRNOG00000007551,Patj,620.4686074,2.518273997,0.099102474,25.41080863,1.92E-142,5.61E-141
ENSRNOG00000007587,Tcp11l2,474.9359979,2.259915432,0.102205673,22.11144806,2.45E-108,5.21E-107
ENSRNOG00000007637,Acer2,12.48866902,4.024057127,0.514828883,7.816300248,5.44E-15,2.34E-14
ENSRNOG00000007680,Fhl5,28.61820436,3.870358048,0.433029844,8.937855215,3.97E-19,1.98E-18
ENSRNOG00000007743,Mgst1,21.10328376,2.215717746,0.332249073,6.668845525,2.58E-11,9.44E-11
ENSRNOG00000007837,Acot11,129.5700237,2.076349942,0.141087945,14.71670697,5.04E-49,5.06E-48
ENSRNOG00000007886,Orm1,21.01030571,9.729152602,1.214905987,8.008152651,1.16E-15,5.14E-15
ENSRNOG00000007896,Klhl38,13.3960034,4.323791149,0.575776705,7.509493016,5.94E-14,2.45E-13
ENSRNOG00000007918,Tbxas1,3.443500843,4.112477025,1.036809905,3.966471582,7.29E-05,0.000177117
ENSRNOG00000007923,Cgref1,1201.273678,2.791747102,0.057912941,48.20592837,0,0
ENSRNOG00000007947,Fam13a,58.02042666,2.919589386,0.227511869,12.83269043,1.08E-37,8.76E-37
ENSRNOG00000007955,Timp4,6.599653005,4.918168471,0.983714864,4.999587435,5.75E-07,1.64E-06
