"","ENSEMBL ID","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2859","ENSRNOG00000005781","Wnt16",13.24626724,-3.214437376,0.621068137,-5.175659779,2.27e-07,8.54e-07
"3047","ENSRNOG00000006255","Nipal4",14.71053789,-2.663696424,0.552891002,-4.817760491,1.45e-06,5.08e-06
"3053","ENSRNOG00000006280","Pcsk9",40.375466,-2.045511404,0.309362272,-6.61202606,3.79e-11,1.92e-10
"3229","ENSRNOG00000006723","Itga11",17527.81897,-2.530308057,0.113286511,-22.3354752,1.67e-110,7.95e-109
"3398","ENSRNOG00000007057","Csmd2",11.75956704,-3.866690875,1.117193201,-3.461076267,0.00053802,0.001408419
"3457","ENSRNOG00000007178","Cd8a",9.630048747,-2.287666435,0.775768097,-2.948905021,0.00318902,0.007422326
"3515","ENSRNOG00000007302","Fbn1",35711.64452,-2.347296645,0.12391928,-18.9421424,5.13e-80,1.64e-78
"3552","ENSRNOG00000007377","Slit3",1845.604903,-2.387447311,0.109356063,-21.83186953,1.16e-105,5.19e-104
"3699","ENSRNOG00000007680","Fhl5",28.61820436,-2.560076378,0.449739506,-5.692353781,1.25e-08,5.26e-08
"3722","ENSRNOG00000007726","Mcam",2560.967361,-2.454878418,0.095847791,-25.61225869,1.11e-144,8.46e-143
"3743","ENSRNOG00000007765","Frzb",17.77693969,-2.575290544,0.529174865,-4.866615389,1.14e-06,4.02e-06
"3749","ENSRNOG00000007779","Kank4",727.259841,-2.545782546,0.121445993,-20.96226056,1.45e-97,5.83e-96
"4243","ENSRNOG00000008728","Unc79",3.185736308,-3.113527895,1.175408198,-2.648890744,0.008075643,0.017400986
"4292","ENSRNOG00000008834","Dach1",350.2328905,-2.023516381,0.117807251,-17.17650116,3.98e-66,1.02e-64
"4368","ENSRNOG00000008979","Guca2b",2.514606824,-4.248952433,1.472893239,-2.884766064,0.003917046,0.008974426
"4388","ENSRNOG00000009019","Slc6a6",2298.112242,-2.271120101,0.141487014,-16.05179186,5.55e-58,1.24e-56
"4438","ENSRNOG00000009106","unkown",32.74137473,-2.04577534,0.31984547,-6.396136679,1.59e-10,7.73e-10
"4537","ENSRNOG00000009291","Dnase1l3",24.27547244,-2.786292315,0.402092678,-6.929477869,4.22e-12,2.28e-11
"4722","ENSRNOG00000009660","Enpp6",42.84582988,-3.339718244,0.35630189,-9.373282415,7.03e-21,5.88e-20
"5035","ENSRNOG00000010278","Il6",18.22694159,-2.983194095,0.448650426,-6.649261705,2.95e-11,1.5e-10
"5046","ENSRNOG00000010302","Rasl10b",467.1517596,-2.190687835,0.149802797,-14.62381127,1.98e-48,3.65e-47
"5057","ENSRNOG00000010325","Ptger3",6.848620764,-2.322529557,0.709697761,-3.272561483,0.001065777,0.002663135
"5139","ENSRNOG00000010490","Hes2",4.891097077,-2.977980187,1.087437251,-2.7385306,0.006171442,0.013616967
"5186","ENSRNOG00000010573","Stra8",1.09507346,-3.971068016,1.675307489,-2.370351736,0.01777117,0.035591676
"5335","ENSRNOG00000010841","Col8a2",7947.000979,-2.225009907,0.063516175,-35.03060312,7.7e-269,1.75e-266
"5372","ENSRNOG00000010905","Dlx5",5.909025352,-2.947915969,0.849871591,-3.468660443,0.00052306,0.001371538
"5502","ENSRNOG00000011151","Tenm4",35.90643551,-2.451776287,0.308012049,-7.960001225,1.72e-15,1.13e-14
"5572","ENSRNOG00000011292","Col1a2",823744.903,-2.096399805,0.057562402,-36.41960243,2.08e-290,5.92e-288
"5645","ENSRNOG00000011424","Cldn23",48.75347636,-2.007228741,0.258482778,-7.765425455,8.14e-15,5.18e-14
"5697","ENSRNOG00000011521","Filip1",449.1717559,-2.174698928,0.126010007,-17.2581447,9.72e-67,2.53e-65
"5734","ENSRNOG00000011593","unkown",111.0251623,-2.978441659,0.212043709,-14.04635711,8.11e-45,1.37e-43
"5823","ENSRNOG00000011774","Fblim1",309.3103097,-2.118738787,0.112249438,-18.87527303,1.82e-79,5.79e-78
"5893","ENSRNOG00000011913","Cp",375.249862,-2.190706104,0.125891412,-17.4015532,8.03e-68,2.11e-66
"5954","ENSRNOG00000012031","unkown",29.0548763,-2.155781067,0.391324561,-5.508933716,3.61e-08,1.45e-07
"5969","ENSRNOG00000012060","Gucy1b1",157.4491379,-2.622120908,0.251701014,-10.41760167,2.06e-25,2.05e-24
"5992","ENSRNOG00000012103","Nmbr",65.90344976,-2.871941605,0.268630516,-10.6910475,1.12e-26,1.17e-25
"6091","ENSRNOG00000012302","Gucy1a1",89.06029537,-2.681979735,0.284176006,-9.437741691,3.81e-21,3.23e-20
"6093","ENSRNOG00000012307","Mybpc3",5.345809999,-2.484971395,0.817017673,-3.041514862,0.002353909,0.005592917
