"","ENSEMBL ID","Gene names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5814","ENSRNOG00000011750","Fam180a",65.91768425,-3.880980292,1.266101577,-3.065299311,0.002174523,0.006475953
"NA.58",NA,NA,NA,NA,NA,NA,NA,NA
"5954","ENSRNOG00000012031","unkown",29.0548763,-2.360310918,0.391858915,-6.023369189,1.71e-09,1.17e-08
"NA.59",NA,NA,NA,NA,NA,NA,NA,NA
"5992","ENSRNOG00000012103","Nmbr",65.90344976,-2.860072141,0.270905826,-10.55744049,4.69e-26,8.78e-25
"NA.60",NA,NA,NA,NA,NA,NA,NA,NA
"NA.61",NA,NA,NA,NA,NA,NA,NA,NA
"NA.62",NA,NA,NA,NA,NA,NA,NA,NA
"6266","ENSRNOG00000012674","Adrb3",22.89181221,-3.641655807,0.563138249,-6.466717217,1e-10,7.56e-10
"NA.63",NA,NA,NA,NA,NA,NA,NA,NA
"NA.64",NA,NA,NA,NA,NA,NA,NA,NA
"NA.65",NA,NA,NA,NA,NA,NA,NA,NA
"NA.66",NA,NA,NA,NA,NA,NA,NA,NA
"6701","ENSRNOG00000013566","LOC690206",1.546766383,-4.765412982,1.662076712,-2.867143825,0.004141947,0.011615221
"6736","ENSRNOG00000013641","Myo7a",743.0193595,-2.724541194,0.13187423,-20.66014857,7.91e-95,8.39e-93
"NA.67",NA,NA,NA,NA,NA,NA,NA,NA
"NA.68",NA,NA,NA,NA,NA,NA,NA,NA
"NA.69",NA,NA,NA,NA,NA,NA,NA,NA
"NA.70",NA,NA,NA,NA,NA,NA,NA,NA
"7201","ENSRNOG00000014532","Lbp",216.6777779,-2.891885007,0.295341338,-9.791670289,1.22e-22,1.98e-21
"7235","ENSRNOG00000014603","Sgcg",1038.752499,-2.149173567,0.070189773,-30.61946891,6.74e-206,3.92e-203
"7269","ENSRNOG00000014658","Zfp423",18.30931573,-2.772244054,0.571193006,-4.853427874,1.21e-06,6.05e-06
"NA.71",NA,NA,NA,NA,NA,NA,NA,NA
"7469","ENSRNOG00000015071","Zim1",7.389961259,-2.29026084,0.70616686,-3.243229002,0.001181832,0.003713731
"7515","ENSRNOG00000015157","Smtnl2",5.295628916,-2.418791504,0.968679141,-2.496999678,0.012524907,0.031238178
"NA.72",NA,NA,NA,NA,NA,NA,NA,NA
"7612","ENSRNOG00000015353","Prss12",27.8305405,-2.208545869,0.349130752,-6.325841705,2.52e-10,1.85e-09
"7901","ENSRNOG00000015982","Wnt11",13.41212268,-2.264114826,0.652350674,-3.47070206,0.0005191,0.001751624
"8162","ENSRNOG00000016456","Il33",116.448094,-3.441873249,0.228121948,-15.08786539,1.95e-51,8.4e-50
"8307","ENSRNOG00000016703","Gtf2a1l",2.887738658,-2.808548122,1.212089789,-2.31711227,0.020497617,0.048341813
"8333","ENSRNOG00000016752","Crispld2",19339.82403,-2.430950853,0.063966791,-38.00332693,0,0
"8337","ENSRNOG00000016758","Loxl2",13441.77652,-2.023167647,0.114352348,-17.69240151,4.8e-70,3.22e-68
"8342","ENSRNOG00000016769","Rab38",3.247707332,-4.785628587,1.381731615,-3.463500823,0.000533195,0.001795594
"8371","ENSRNOG00000016826","Pla2g2d",8.870291657,-2.989468298,0.745566756,-4.009658793,6.08e-05,0.000240502
"8752","ENSRNOG00000017550","Fbln7",30.04181388,-2.044963954,0.341988745,-5.979623553,2.24e-09,1.51e-08
"8791","ENSRNOG00000017625","Htr2b",23.6195311,-2.47398188,0.686613214,-3.603166715,0.000314364,0.00110361
"NA.73",NA,NA,NA,NA,NA,NA,NA,NA
"9182","ENSRNOG00000018346","Agtr1a",32.52175702,-2.98794334,1.146979382,-2.605054099,0.009185975,0.023688299
"9308","ENSRNOG00000018570","C1qtnf3",629.1218144,-2.17307868,0.07314601,-29.70877933,5.91e-194,2.93e-191
"9337","ENSRNOG00000018644","Slc6a7",40.00455435,-2.236790278,0.455947652,-4.905805011,9.3e-07,4.7e-06
"NA.74",NA,NA,NA,NA,NA,NA,NA,NA
"NA.75",NA,NA,NA,NA,NA,NA,NA,NA
"9573","ENSRNOG00000019058","Gstm3",2.133926013,-3.749561275,1.547680839,-2.422696709,0.015405783,0.037622144
"NA.76",NA,NA,NA,NA,NA,NA,NA,NA
"9694","ENSRNOG00000019270","P2ry6",289.3692546,-2.174006539,0.135696044,-16.02114904,9.1e-58,4.51e-56
"9713","ENSRNOG00000019305","Sh3tc2",81.08758975,-2.582519398,0.234501325,-11.01281366,3.31e-28,6.71e-27
"NA.77",NA,NA,NA,NA,NA,NA,NA,NA
"NA.78",NA,NA,NA,NA,NA,NA,NA,NA
"NA.79",NA,NA,NA,NA,NA,NA,NA,NA
"NA.80",NA,NA,NA,NA,NA,NA,NA,NA
"10382","ENSRNOG00000020514","Sox6",11.37503408,-2.265506255,0.693001183,-3.269123213,0.001078813,0.003415465
"NA.81",NA,NA,NA,NA,NA,NA,NA,NA
"10628","ENSRNOG00000020948","Pth1r",27.5472477,-2.114677104,0.400671459,-5.277833132,1.31e-07,7.28e-07
"10633","ENSRNOG00000020953","Ms4a7",12.85374745,-2.369273537,0.610476439,-3.881023714,0.000104018,0.000398333
"NA.82",NA,NA,NA,NA,NA,NA,NA,NA
"NA.83",NA,NA,NA,NA,NA,NA,NA,NA
"NA.84",NA,NA,NA,NA,NA,NA,NA,NA
"NA.85",NA,NA,NA,NA,NA,NA,NA,NA
"NA.86",NA,NA,NA,NA,NA,NA,NA,NA
"10817","ENSRNOG00000021256","Adra1d",60.94932143,-3.612595099,0.35842199,-10.07916702,6.83e-24,1.16e-22
"NA.87",NA,NA,NA,NA,NA,NA,NA,NA
"NA.88",NA,NA,NA,NA,NA,NA,NA,NA
"NA.89",NA,NA,NA,NA,NA,NA,NA,NA
"NA.90",NA,NA,NA,NA,NA,NA,NA,NA
"NA.91",NA,NA,NA,NA,NA,NA,NA,NA
"11171","ENSRNOG00000022432","Tmem59l",42.68705555,-2.03100013,0.335644284,-6.051049358,1.44e-09,9.93e-09
"NA.92",NA,NA,NA,NA,NA,NA,NA,NA
"11236","ENSRNOG00000022673","Slc22a20",13.18422872,-2.018052405,0.583850516,-3.456453917,0.000547333,0.0018377
"11245","ENSRNOG00000022704","Esyt3",25.49258679,-2.212464927,0.39326836,-5.62584015,1.85e-08,1.13e-07
"NA.93",NA,NA,NA,NA,NA,NA,NA,NA
"NA.94",NA,NA,NA,NA,NA,NA,NA,NA
"11333","ENSRNOG00000022988","Skint10",3.187062206,-3.284589124,1.27305726,-2.580079646,0.009877753,0.025275129
"NA.95",NA,NA,NA,NA,NA,NA,NA,NA
"11363","ENSRNOG00000023109","Icoslg",10.12669862,-2.083830202,0.575682132,-3.619758343,0.000294878,0.001041492
"11372","ENSRNOG00000023148","Col11a1",24800.39659,-2.192044991,0.084563327,-25.9219341,3.77e-148,9.78e-146
"11614","ENSRNOG00000024082","Gldn",13291.60312,-2.69677391,0.047637375,-56.61046425,0,0
"11806","ENSRNOG00000024762","Frmd7",1.646491768,-4.987496581,1.58726274,-3.142199748,0.001676836,0.005104664
"11865","ENSRNOG00000024952","Atp8b1",22.83057429,-2.041505614,0.493525062,-4.136579415,3.53e-05,0.000144478
"NA.96",NA,NA,NA,NA,NA,NA,NA,NA
"NA.97",NA,NA,NA,NA,NA,NA,NA,NA
"NA.98",NA,NA,NA,NA,NA,NA,NA,NA
"NA.99",NA,NA,NA,NA,NA,NA,NA,NA
"NA.100",NA,NA,NA,NA,NA,NA,NA,NA
"NA.101",NA,NA,NA,NA,NA,NA,NA,NA
"12112","ENSRNOG00000025736","Tcf23",149.1300053,-2.661199357,0.776380367,-3.427700481,0.000608717,0.002023257
"NA.102",NA,NA,NA,NA,NA,NA,NA,NA
"NA.103",NA,NA,NA,NA,NA,NA,NA,NA
"12273","ENSRNOG00000026415","Col14a1",1880.789624,-2.600852706,0.092851347,-28.01093121,1.2e-172,3.95e-170
"NA.104",NA,NA,NA,NA,NA,NA,NA,NA
"NA.105",NA,NA,NA,NA,NA,NA,NA,NA
"NA.106",NA,NA,NA,NA,NA,NA,NA,NA
"NA.107",NA,NA,NA,NA,NA,NA,NA,NA
"NA.108",NA,NA,NA,NA,NA,NA,NA,NA
"NA.109",NA,NA,NA,NA,NA,NA,NA,NA
"NA.110",NA,NA,NA,NA,NA,NA,NA,NA
"12531","ENSRNOG00000027380","Upk1b",5.460905719,-2.740350277,1.038471585,-2.638830292,0.008319262,0.02165859
"NA.111",NA,NA,NA,NA,NA,NA,NA,NA
"NA.112",NA,NA,NA,NA,NA,NA,NA,NA
"NA.113",NA,NA,NA,NA,NA,NA,NA,NA
"NA.114",NA,NA,NA,NA,NA,NA,NA,NA
"NA.115",NA,NA,NA,NA,NA,NA,NA,NA
"NA.116",NA,NA,NA,NA,NA,NA,NA,NA
"NA.117",NA,NA,NA,NA,NA,NA,NA,NA
"NA.118",NA,NA,NA,NA,NA,NA,NA,NA
"13046","ENSRNOG00000029318","Tyrp1",3.511934323,-2.691860679,1.003330474,-2.682925265,0.00729813,0.019246749
"13111","ENSRNOG00000029597","AABR07030544.1",212.2305474,-2.492272637,0.158374734,-15.73655456,8.49e-56,4.01e-54
"NA.119",NA,NA,NA,NA,NA,NA,NA,NA
"NA.120",NA,NA,NA,NA,NA,NA,NA,NA
"13147","ENSRNOG00000029792","Ogn",6521.013346,-2.098226618,0.065487387,-32.04016418,3.01e-225,2.31e-222
"NA.121",NA,NA,NA,NA,NA,NA,NA,NA
"NA.122",NA,NA,NA,NA,NA,NA,NA,NA
"13254","ENSRNOG00000030210","Fndc1",18.17645165,-2.947147796,0.462380814,-6.373853991,1.84e-10,1.37e-09
"NA.123",NA,NA,NA,NA,NA,NA,NA,NA
"NA.124",NA,NA,NA,NA,NA,NA,NA,NA
"NA.125",NA,NA,NA,NA,NA,NA,NA,NA
"NA.126",NA,NA,NA,NA,NA,NA,NA,NA
"NA.127",NA,NA,NA,NA,NA,NA,NA,NA
"NA.128",NA,NA,NA,NA,NA,NA,NA,NA
"NA.129",NA,NA,NA,NA,NA,NA,NA,NA
"NA.130",NA,NA,NA,NA,NA,NA,NA,NA
"NA.131",NA,NA,NA,NA,NA,NA,NA,NA
"NA.132",NA,NA,NA,NA,NA,NA,NA,NA
"13976","ENSRNOG00000033202","Fbxo41",5.799268836,-2.5370013,0.778065989,-3.260650554,0.001111569,0.003507975
"NA.133",NA,NA,NA,NA,NA,NA,NA,NA
"NA.134",NA,NA,NA,NA,NA,NA,NA,NA
"NA.135",NA,NA,NA,NA,NA,NA,NA,NA
"NA.136",NA,NA,NA,NA,NA,NA,NA,NA
"14096","ENSRNOG00000033697","Casp4",510.9582437,-2.046921383,0.097722839,-20.94619239,2.03e-97,2.26e-95
"NA.137",NA,NA,NA,NA,NA,NA,NA,NA
"NA.138",NA,NA,NA,NA,NA,NA,NA,NA
"NA.139",NA,NA,NA,NA,NA,NA,NA,NA
"NA.140",NA,NA,NA,NA,NA,NA,NA,NA
"NA.141",NA,NA,NA,NA,NA,NA,NA,NA
"NA.142",NA,NA,NA,NA,NA,NA,NA,NA
"NA.143",NA,NA,NA,NA,NA,NA,NA,NA
"NA.144",NA,NA,NA,NA,NA,NA,NA,NA
"NA.145",NA,NA,NA,NA,NA,NA,NA,NA
"NA.146",NA,NA,NA,NA,NA,NA,NA,NA
"NA.147",NA,NA,NA,NA,NA,NA,NA,NA
"NA.148",NA,NA,NA,NA,NA,NA,NA,NA
"NA.149",NA,NA,NA,NA,NA,NA,NA,NA
"NA.150",NA,NA,NA,NA,NA,NA,NA,NA
"NA.151",NA,NA,NA,NA,NA,NA,NA,NA
"NA.152",NA,NA,NA,NA,NA,NA,NA,NA
"NA.153",NA,NA,NA,NA,NA,NA,NA,NA
"NA.154",NA,NA,NA,NA,NA,NA,NA,NA
"14769","ENSRNOG00000038328","Gjc2",7.999731399,-2.035868253,0.723140158,-2.81531627,0.004872925,0.013459201
"NA.155",NA,NA,NA,NA,NA,NA,NA,NA
"NA.156",NA,NA,NA,NA,NA,NA,NA,NA
"NA.157",NA,NA,NA,NA,NA,NA,NA,NA
