ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbols
ENSRNOG00000002495,AABR07063126.1,1.402432145,4.473555251,1.938058121,2.308266817,0.020984301,0.037735272,
ENSRNOG00000002548,Tnn,7886.529183,5.941743334,0.07759028,76.57844915,0.0,0.0,
ENSRNOG00000002701,Hgd,29.89989733,5.1246707,0.449162061,11.4094024,3.7499999999999996e-30,2.92e-29,
ENSRNOG00000002814,unkown,35.12450539,5.66096435,0.471380509,12.00933055,3.17e-33,2.69e-32,
ENSRNOG00000002930,Ppl,221.5768156,5.101650413,0.16314925,31.2698367,1.1999999999999999e-214,8.64e-213,
ENSRNOG00000002934,Atp1b1,3803.241506,2.202963904,0.03955835,55.68897353,0.0,0.0,
ENSRNOG00000002976,Cfap91,2.499621577,3.339139839,1.298236836,2.572057537,0.010109609,0.019215749,
ENSRNOG00000003059,Optc,22.44064967,3.060436745,0.393535941,7.776765536,7.44e-15,3.48e-14,
ENSRNOG00000003098,Prom1,24.02891625,2.125827991,0.45640354,4.657781555,3.2e-06,8.98e-06,
ENSRNOG00000003120,Prelp,7171.206209,4.702706112,0.058673944,80.1498217,0.0,0.0,
ENSRNOG00000003132,Mip,20.30900515,3.596432013,0.384521916,9.352996176,8.52e-21,5.06e-20,
ENSRNOG00000003259,C1qtnf1,971.5327586,4.825666405,0.088846274,54.31478651,0.0,0.0,
ENSRNOG00000003349,Col23a1,5.167672561,3.646346172,0.866034969,4.210391385,2.55e-05,6.61e-05,
ENSRNOG00000003486,Mnda,319.3600031,2.754637801,0.094435316,29.16957259,4.72e-187,2.8200000000000003e-185,
ENSRNOG00000003553,Efemp1,14.77561767,5.538736994,0.91397603,6.06004623,1.36e-09,4.86e-09,
ENSRNOG00000003587,Vegfd,1604.111546,4.107650232,0.079548354,51.63714915,0.0,0.0,
ENSRNOG00000003620,Fmo3,4.365231972,7.295737777,1.462076051,4.989985145,6.04e-07,1.8e-06,
ENSRNOG00000003687,Rgs2,660.1430989,6.810978483,0.156513194,43.51696058,0.0,0.0,
ENSRNOG00000003742,Cdkl5,79.67014945,2.081589037,0.173547117,11.99437404,3.8e-33,3.2e-32,
