ENSEMBL ID,Gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Symbols
ENSRNOG00000014030,,813.8761217,4.424220485,0.10201134,43.3698889,0.0,0.0,Synm
ENSRNOG00000014090,,3271.693683,2.030285993,0.042984844,47.23260145,0.0,0.0,Retsat
ENSRNOG00000014182,,9063.622426,2.548345686,0.179341137,14.20948769,8e-46,7.58e-45,Tns1
ENSRNOG00000014215,,2002.51267,3.203492079,0.090630635,35.34668042,1.13e-273,8.06e-272,Klf9
ENSRNOG00000014314,,16.43576339,2.100396255,0.34634877,6.064396453,1.32e-09,4.45e-09,Slc39a4
ENSRNOG00000014532,,216.6777779,6.854921037,0.273465822,25.06682918,1.14e-138,3.25e-137,Lbp
ENSRNOG00000014549,,37.568002,2.556633838,0.310999153,8.220709982,2.02e-16,9.2e-16,Arhgef26
ENSRNOG00000014684,,9.216683766,2.401894581,0.51265865,4.685173225,2.8e-06,7.61e-06,Npr1
ENSRNOG00000014723,,2.474035876,2.490001653,0.978389635,2.545000034,0.010927773,0.020689148,Cbfa2t3
ENSRNOG00000014851,,26.38972432,3.16295251,0.373690298,8.464101218,2.58e-17,1.21e-16,Col4a4
ENSRNOG00000014867,,70.77250857,3.81059568,0.218386083,17.44889428,3.51e-68,4.69e-67,Synpo2
ENSRNOG00000014907,,12.21739468,3.002552785,0.51972681,5.777175099,7.6e-09,2.44e-08,Aldh8a1
ENSRNOG00000014956,,24.81654415,2.44555883,0.353918088,6.90995717,4.85e-12,1.84e-11,Slc11a1
ENSRNOG00000015033,,5509.823832,2.724491512,0.040564982,67.16363118,0.0,0.0,Mxd4
ENSRNOG00000015035,,2.745632668,5.529801246,1.456245241,3.797300819,0.00014628,0.000345649,Myo7b
ENSRNOG00000015051,,3.223354315,3.701414987,0.974824694,3.79700577,0.000146454,0.000346017,Golga7b
ENSRNOG00000015078,,5228.651036,2.440583111,0.0707407,34.50040947,7.91e-261,5.31e-259,Ifitm3
ENSRNOG00000015156,,1.500341524,4.241252076,1.627326786,2.606269442,0.009153442,0.017565121,Gal
ENSRNOG00000015159,,7.833478489,5.279669249,0.885117577,5.964935493,2.45e-09,8.1e-09,Slc9a3
ENSRNOG00000015222,,219.7211243,7.213983537,0.280668022,25.7029051,1.08e-145,3.2500000000000004e-144,unkown
ENSRNOG00000015411,,9.902628971,5.126330963,0.778074393,6.588484354,4.44e-11,1.61e-10,Apobec1
ENSRNOG00000015505,,4309.548805,4.54879902,0.067460112,67.42946118,0.0,0.0,Mfap5
ENSRNOG00000015566,,12.18886415,2.836258923,0.522690135,5.426272155,5.75e-08,1.75e-07,Atp6v1e2
ENSRNOG00000015577,,168.0890775,2.831267814,0.13701891,20.66333634,7.41e-95,1.35e-93,Lpar6
ENSRNOG00000015658,,1680.682546,2.247174495,0.145691133,15.42423653,1.12e-53,1.22e-52,Sorbs1
ENSRNOG00000015695,,136.3627686,2.366531328,0.136919949,17.28405063,6.199999999999999e-67,8.140000000000002e-66,Sult5a1
ENSRNOG00000015724,,1.82996369,2.932445966,1.207437171,2.428653047,0.015155027,0.028093861,Gucy2g
ENSRNOG00000015972,,71.16948874,2.567583023,0.199388152,12.87730989,6.04e-38,4.95e-37,Ano5
ENSRNOG00000016099,,875.2059883,2.215451024,0.085649606,25.86644737,1.59e-147,4.84e-146,Id4
ENSRNOG00000016351,,1072.534638,2.511846968,0.057135727,43.96280729,0.0,0.0,Frrs1
ENSRNOG00000016378,,35.05175772,2.191127567,0.311111182,7.042908427,1.88e-12,7.28e-12,Map3k8
ENSRNOG00000016494,,676.2888366,3.446807191,0.087959231,39.18641821,0.0,0.0,Tmem204
