ENSEMBL ID,Gene Symbols,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene names
ENSRNOG00000009503,,377.9673637,2.435511309,0.116963796,20.82277922,2.69e-96,1.06e-94,Depdc1
ENSRNOG00000009572,,4.403571593,2.524450671,0.92634388,2.725176604,0.00642671,0.01413517,Hgfac
ENSRNOG00000009797,,5.966395406,2.131203194,0.760894194,2.800919248,0.005095727,0.011409209,Aqp3
ENSRNOG00000009822,,58.7022152,3.91724782,0.302666639,12.94244993,2.59e-38,3.7700000000000014e-37,Tlr2
ENSRNOG00000009970,,20.86757184,2.19320112,0.405200191,5.412635945,6.21e-08,2.45e-07,Gsdme
ENSRNOG00000010359,,2.419504666,4.220511445,1.465368639,2.880170444,0.003974602,0.009093058,Bik
ENSRNOG00000010459,,3.010629253,4.733815474,1.363646938,3.471437762,0.000517679,0.001359085,Fbxo43
ENSRNOG00000010701,,139.8151553,3.516424148,0.206118644,17.06019449,2.94e-65,7.43e-64,Depdc1b
ENSRNOG00000010805,,28.97621168,4.52523803,1.253562977,3.60990083,0.000306314,0.000828028,Fabp4
ENSRNOG00000010883,,120.8213244,2.473117298,0.188108842,13.14726768,1.76e-39,2.64e-38,Pard6b
ENSRNOG00000010997,,9.60918925,4.275484423,0.754527575,5.66643893,1.46e-08,6.08e-08,Ednrb
ENSRNOG00000011108,,2.49649825,4.51946172,1.401291604,3.225211445,0.001258797,0.003111321,Tsga13
ENSRNOG00000011150,,1597.858389,2.025480384,0.04728573,42.834918,0.0,0.0,Arsb
ENSRNOG00000011500,,2.454928549,4.785316969,1.557832566,3.071778748,0.002127874,0.005088675,Pou2af1
ENSRNOG00000011646,,131.0183382,4.119122387,0.212467247,19.38709347,9.92e-84,3.39e-82,Rem2
ENSRNOG00000011672,,4.134044653,5.261316884,1.524985429,3.450076823,0.000560427,0.001464197,Tph1
ENSRNOG00000011777,,1045.496436,2.361428996,0.07676607,30.76136375,8.620000000000001e-208,1.25e-205,Spag5
ENSRNOG00000011820,,1.994363043,3.083743729,1.238547928,2.489805731,0.012781294,0.026442265,Acp3
ENSRNOG00000011901,,488.2020959,2.442321597,0.107475449,22.72446055,2.57e-114,1.31e-112,Rrad
ENSRNOG00000012051,,699.740067,2.676932894,0.088952899,30.09382422,5.84e-199,7.77e-197,Ncaph
ENSRNOG00000012067,,653.0119688,2.320216861,0.075820149,30.60158666,1.17e-205,1.6499999999999998e-203,Fam111a
ENSRNOG00000012098,,193.2961927,6.202374211,0.319719874,19.3994015,7.809999999999999e-84,2.68e-82,Adcyap1r1
ENSRNOG00000012119,,251.5265394,3.180758259,0.160678457,19.79579791,3.24e-87,1.15e-85,Nek2l1
ENSRNOG00000012290,,77.85195606,3.275084195,0.262551485,12.47406463,1.03e-35,1.41e-34,Gchfr
ENSRNOG00000012363,,6.419100094,2.616244205,1.017226498,2.571938708,0.010113079,0.02137947,Peli2
ENSRNOG00000012735,,83.5969622,2.053476814,0.259008609,7.928218364,2.22e-15,1.46e-14,Kif24
ENSRNOG00000012835,,833.3589492,2.830109409,0.102607828,27.58180796,1.8400000000000006e-167,1.82e-165,Espl1
ENSRNOG00000012843,,47.32059935,4.957370859,0.404818536,12.24590876,1.77e-34,2.33e-33,Aspg
ENSRNOG00000013057,,3430.889609,2.31256619,0.053508566,43.21861629,0.0,0.0,Prc1
ENSRNOG00000013069,,288.6714113,3.36519306,0.143151119,23.50797591,3.3800000000000004e-122,1.95e-120,Sapcd2
ENSRNOG00000013092,,31.62638293,2.830700213,0.337476253,8.387850069,4.95e-17,3.52e-16,Lonrf3
ENSRNOG00000013148,,198.8819618,2.028067638,0.121415236,16.7035679,1.23e-62,2.97e-61,Rad54l
ENSRNOG00000013167,,2455.679798,2.277388002,0.073405804,31.02463131,2.51e-211,3.84e-209,Hmgb2
ENSRNOG00000013220,,2.621242691,3.496158134,1.453691232,2.405021133,0.016171531,0.032667586,Arhgap45
ENSRNOG00000013279,,12.69939622,2.797094313,0.782134873,3.576230146,0.000348585,0.000934706,LOC681458
ENSRNOG00000013330,,487.5145606,2.940747577,0.110663161,26.57386196,1.36e-155,1.18e-153,Cdhr1
ENSRNOG00000013408,,127.6670675,3.402485816,0.201377806,16.89603179,4.81e-64,1.19e-62,Npas2
ENSRNOG00000013598,,435.1096249,2.663420741,0.115420371,23.07582903,8.100000000000001e-118,4.38e-116,Melk
ENSRNOG00000013654,,1.60392994,3.396402202,1.46693687,2.315302226,0.020596398,0.040623685,Cbln2
ENSRNOG00000013840,,1.608574424,3.698082628,1.525552615,2.424093795,0.015346641,0.031146612,Ankrd2
