hsa-miR-423-3p	hsa-miR-197-3p	0.97132
hsa-miR-197-3p	hsa-miR-423-3p	0.96293
hsa-miR-144-5p	hsa-miR-146b-5p	0.94048
hsa-miR-146b-5p	hsa-miR-144-5p	0.93074
hsa-miR-423-3p	hsa-miR-154-5p	0.92803
hsa-miR-133a-3p	hsa-miR-144-5p	0.92722
hsa-miR-144-5p	hsa-miR-133a-3p	0.92505
hsa-miR-151a-3p	hsa-miR-154-5p	0.91856
hsa-miR-151a-3p	hsa-miR-197-3p	0.91856
hsa-miR-197-3p	hsa-miR-151a-3p	0.91802
hsa-miR-34a-5p	hsa-miR-335-3p	0.91044
hsa-miR-197-3p	hsa-miR-328-3p	0.90828
hsa-miR-335-3p	hsa-miR-34a-5p	0.90368
