ENSEMBL ID,Gene Symbols,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000967,Aacs,993.9373192,0.09615199,0.063055036,1.524889934,0.127286553,0.193559374
ENSRNOG00000000968,Rnf6,2082.116373,-0.109316324,0.044004815,-2.48419005,0.012984649,0.024316896
ENSRNOG00000000973,Tex45,0.329387131,0,5.242104148,0,1,
ENSRNOG00000000974,Zfp358,579.7731069,0.066829464,0.077320906,0.864312992,0.387415975,0.495047737
ENSRNOG00000000975,Mcoln1,1063.403139,-0.146897845,0.051996212,-2.82516438,0.004725637,0.009435093
ENSRNOG00000000977,Pnpla6,528.9888078,0.331802049,0.073688165,4.502786174,6.71E-06,1.77E-05
ENSRNOG00000000978,Cyp3a73,0.152686478,0,5.267904354,0,1,
ENSRNOG00000000979,unkown,343.3074669,-0.671377622,0.117573404,-5.710284806,1.13E-08,3.58E-08
ENSRNOG00000000981,Scarb1,836.6284696,-0.75666858,0.080841443,-9.359909393,7.98E-21,4.20E-20
ENSRNOG00000000983,Zfp394,255.0369724,0.81075038,0.104005604,7.79525669,6.43E-15,2.75E-14
ENSRNOG00000000985,Cpsf4,852.0628032,-0.637540697,0.070847692,-8.998750456,2.28E-19,1.15E-18
ENSRNOG00000000986,Camsap3,0.915574178,-1.544223738,2.132618146,-0.724097627,0.469005801,0.577274831
ENSRNOG00000000987,Ptcd1,449.386999,0.131097444,0.08515059,1.539595265,0.12365904,0.18863159
ENSRNOG00000000988,Xab2,1212.175202,-0.222477665,0.056474681,-3.93942313,8.17E-05,0.000197321
ENSRNOG00000000989,Bud31,2101.813112,0.002178095,0.079083175,0.027541822,0.978027584,0.986646197
ENSRNOG00000000990,Pdap1,6193.740748,-0.099955225,0.058500185,-1.708630913,0.087519339,0.139725433
ENSRNOG00000000991,Arpc1b,26365.50041,0.966089955,0.039429001,24.5020148,1.41E-132,3.76E-131
ENSRNOG00000000993,Pcp2,0.518830433,-0.581739963,2.548995344,-0.228223235,0.819472699,0.874491626
ENSRNOG00000000994,Stxbp2,305.5289975,0.304035008,0.091425296,3.325502048,0.000882595,0.001928028
ENSRNOG00000000996,Arpc1a,3501.78539,0.296661189,0.062946444,4.712914208,2.44E-06,6.67E-06
ENSRNOG00000000999,Smurf1,3185.321235,0.489806572,0.085444899,5.732426138,9.90E-09,3.16E-08
ENSRNOG00000001001,Retn,0.109537135,0,5.267904354,0,1,
ENSRNOG00000001003,Trappc5,1068.548423,0.229702204,0.081556392,2.816483144,0.004855259,0.009683533
ENSRNOG00000001004,Ncor2,5980.717221,-0.197449601,0.113009871,-1.747188979,0.080604563,0.129959177
ENSRNOG00000001005,Fcer2,0.102918263,0,5.267904354,0,1,
ENSRNOG00000001006,Nptx2,5.864409866,-3.900454647,0.975288842,-3.999281523,6.35E-05,0.000155199
ENSRNOG00000001007,Baiap2l1,1844.406185,0.670594924,0.044564527,15.04772913,3.57E-51,3.71E-50
ENSRNOG00000001009,Bri3,2039.636872,-0.276778938,0.092963505,-2.977285968,0.002908126,0.005972445
ENSRNOG00000001010,Tecpr1,901.1242597,0.043990425,0.081806455,0.537737817,0.590758067,0.687510635
ENSRNOG00000001011,unkown,2.988373661,-1.592523339,1.145445865,-1.390308689,0.16443516,0.24223258
ENSRNOG00000001030,Tsc22d1,7945.460324,2.149368181,0.045762082,46.96832186,0,0
ENSRNOG00000001031,Ocm,14.60871454,1.053611633,0.458407712,2.29841603,0.021538122,0.038970363
ENSRNOG00000001032,Ccz1b,2104.100093,0.201242812,0.059825101,3.363852444,0.000768626,0.001689149
ENSRNOG00000001033,Nufip1,739.8712282,-0.612298644,0.079573949,-7.694712311,1.42E-14,6.00E-14
ENSRNOG00000001034,Evi5l,949.3183216,0.222538183,0.06855496,3.246128116,0.001169862,0.002519578
ENSRNOG00000001035,Gtf2h3,621.4953874,-0.249267902,0.074959589,-3.325363756,0.000883032,0.001928759
ENSRNOG00000001036,Rsph10b,13.44654425,-0.067499875,0.414277332,-0.162934029,0.870570378,0.910381263
ENSRNOG00000001037,Gpalpp1,849.9421128,-0.027641675,0.07127778,-0.387802132,0.698162467,0.777959611
ENSRNOG00000001039,Eif2b1,1676.324108,0.042920818,0.057295935,0.74910757,0.453792373,0.562418018
ENSRNOG00000001040,Pms2,651.3253048,-0.583638588,0.085279204,-6.843855981,7.71E-12,2.89E-11
ENSRNOG00000001043,Ddx55,470.4149693,-0.261172298,0.083918389,-3.112217739,0.001856875,0.003916058
ENSRNOG00000001044,Aimp2,1693.709448,-0.484542476,0.086790659,-5.582887411,2.37E-08,7.39E-08
ENSRNOG00000001047,Map2k7,602.3652102,0.625489037,0.087891402,7.116612341,1.11E-12,4.32E-12
ENSRNOG00000001048,Ankrd61,14.89132175,-0.74082995,0.430832493,-1.719531287,0.085517676,0.136822415
